Nrtasks,Time,Makespan,MaxTemp,GAP
1,0.08965229988098145,15,346.84,0.0%
2,0.03129315376281738,16,343.91,6.25%
3,0.04010009765625,19,353.36,0.0%
4,0.04897141456604004,19,355.67,0.0%
5,0.059113502502441406,19,375.17,0.0%
6,0.06325054168701172,19,375.93,0.0%
7,0.11371064186096191,23,390.74,17.391304347826086%
8,0.2370915412902832,20,398.82,0.0%
9,3.8182146549224854,35,397.1,21.22907590002293%
10,3.6792795658111572,35,397.98,8.571428571428582%
11,5.086406707763672,35,397.13,8.57142856202447%
12,8.594701766967773,35,397.35,8.57142856202447%
13,15.431461095809937,36,399.3,11.11111111111111%
14,58.265910387039185,38,399.14,7.894736842105263%
15,85.12301707267761,41,398.2,24.390243886947523%
16,220.42232489585876,42,401.68,24.99999998464252%
17,393.09802079200745,53,400.78,24.5283037735849%

