Nrtasks,Time,Makespan,MaxTemp
1,1.1596314907073975,15,346.84
2,0.012293577194213867,15,346.07
3,0.01723504066467285,19,353.36
4,0.0227048397064209,19,355.67
5,0.03596687316894531,19,375.17
6,0.04677915573120117,19,375.93
7,0.10348153114318848,19,385.92
8,0.23769855499267578,20,398.82
9,5.753358840942383,35,394.78
10,3.910696029663086,35,397.98
11,3.9151973724365234,41,397.95
12,3.9210996627807617,41,401.55
13,3.928347587585449,51,397.94
14,3.940391778945923,51,400.26
15,3.9784674644470215,51,397.96
16,4.013556480407715,55,397.96
17,5.064096212387085,68,397.96
18,5.118052959442139,68,399.21
19,8.601105690002441,68,398.33
20,63.62984490394592,69,399.73
21,63.6367347240448,81,399.73
22,63.641568183898926,81,399.73
23,63.73671007156372,89,399.73
24,63.76592445373535,89,399.73
25,64.06967067718506,89,399.73
26,64.48554730415344,92,399.73
27,65.44363498687744,96,399.73
28,65.49870562553406,96,399.73
29,72.28620982170105,98,399.73
30,73.2239716053009,100,404.23
31,73.22969651222229,103,404.23
32,73.2336962223053,107,404.23
33,73.24604773521423,107,404.23
34,73.38791275024414,108,404.23
35,73.59430932998657,110,404.23
36,73.27972197532654,115,404.23
37,73.62992095947266,115,404.23
38,74.11141586303711,115,404.23
39,89.63921189308167,117,404.23
40,472.5589783191681,118,404.23
41,472.5635643005371,133,404.23
42,472.5705635547638,137,404.23
43,472.5764935016632,137,404.23
44,472.58138155937195,148,404.23
45,472.9710578918457,156,404.23
46,473.62414622306824,156,404.23
47,474.95162439346313,156,404.23
48,481.9993758201599,163,404.23
49,887.1370897293091,171,404.23
50,1424.2059247493744,171,404.23

